firma_id,is_kolu,firma_turu,satici_unvan,satici_kimlik,kaynak
72,restoran,kisa_unvan,Siyez Evi,4835642089,osm
73,restoran,kisa_unvan,Güleryüz,3753001192,osm
74,restoran,uzun_unvan,Can borek,2181143747,osm
75,restoran,kisa_unvan,Maltepe Derneği Restaurant,0120455619,osm
76,restoran,kisa_unvan,Turgut Kebab Pide,0022557945,osm
77,restoran,uzun_unvan,İtibar Köz Döner,1552166743,osm
78,restoran,uzun_unvan,Eroğlu Aile İşkembe Salonu,7621202163,osm
79,restoran,uzun_unvan,3/5/8,7972965901,osm
80,restoran,uzun_unvan,SushiCo,2771670143,osm
81,restoran,uzun_unvan,Pak Pide Pizza Salonu,0899358896,osm
82,restoran,kisa_unvan,Dönerci lütfü usta,3756289005,osm
83,restoran,kisa_unvan,Fetih Börek & Pide,2877217530,osm
84,restoran,kisa_unvan,Bizim Dürüm,4083866318,osm
85,restoran,kisa_unvan,Servet İskender,9717751701,osm
86,restoran,kisa_unvan,Sevinç Simit Salonu,6088019949,osm
87,restoran,uzun_unvan,Orkoz,8375503759,osm
88,restoran,kisa_unvan,Pavlonya Meyhanesi,9975711301,osm
89,restoran,kisa_unvan,Eda Büfe,4885102723,osm
90,restoran,uzun_unvan,Mumhane Lokantası,6149331634,osm
91,restoran,kisa_unvan,Akdeniz Hatay Sofrasi,3516091770,osm
92,restoran,uzun_unvan,Bahçivan Fırını,8270808694,osm
93,restoran,kisa_unvan,Ozbasak,8292216998,osm
94,restoran,uzun_unvan,Hane,8669346543,osm
95,restoran,kisa_unvan,Çatkapı Köfte Mante,2269848585,osm
96,restoran,kisa_unvan,Chinese and Sushi experience,3394522887,osm
97,restoran,uzun_unvan,Cesa Çiğköfte,5158799683,osm
98,restoran,kisa_unvan,Etsiz Çiğköfte,6081062002,osm
99,restoran,kisa_unvan,Ozgulu,2442043800,osm
100,restoran,kisa_unvan,Közde Kanat,7198386382,osm
101,restoran,uzun_unvan,Akkoçlar,4066658009,osm
102,restoran,uzun_unvan,Boterra,3973598932,osm
103,restoran,uzun_unvan,DAMAK YEMEK ŞÖLENİ,3472122812,osm
104,restoran,kisa_unvan,Esto Lahmacun,6484229408,osm
105,restoran,kisa_unvan,Çiğköfteci hasan aybak,2025909474,osm
106,restoran,uzun_unvan,Günbilir balık lokantası,8515832819,osm
107,restoran,uzun_unvan,Nazife Hanımın Ev Yemekleri,2688615336,osm
108,restoran,uzun_unvan,The Food Clan,5543987802,osm
109,restoran,kisa_unvan,Serotonin Waffle ve Sütlü Tatlı,5739930560,osm
110,restoran,uzun_unvan,Fusion Indian,1648408589,osm
111,restoran,uzun_unvan,Malibu's Buffet,7704358112,osm
112,restoran,kisa_unvan,Fatih Çitir Pide,8801336132,osm
113,restoran,kisa_unvan,Sultan Resturant,6120750119,osm
114,restoran,kisa_unvan,Karadeniz Pide Vefa,4819346679,osm
115,restoran,kisa_unvan,Güllüoğlu,6506180914,osm
116,restoran,uzun_unvan,İstasyon Börek,9015814494,osm
117,restoran,kisa_unvan,Ala Türk Mutfagi,7660728325,osm
118,restoran,uzun_unvan,Köfte Piyaz,8424508826,osm
119,restoran,kisa_unvan,Meşhur Süleymaniye kurufasulyeci,0996881435,osm
120,restoran,uzun_unvan,Lezzetli Döner,5368222391,osm
121,restoran,uzun_unvan,Yedikule kebapçısı,3129087814,osm
122,restoran,kisa_unvan,Sallouraoğlu halep sofrası,1413975529,osm
123,restoran,uzun_unvan,Ethem Et & Adana Kebap,3149135773,osm
124,restoran,kisa_unvan,Ahenk Restaurant & Cafe,4929955626,osm
125,restoran,kisa_unvan,Ademoğlu Tandır Döner,3364525770,osm
126,restoran,kisa_unvan,Alamin,4781291426,osm
127,restoran,uzun_unvan,Çorbacı Mecit Usta,3411080999,osm
128,restoran,kisa_unvan,Tuzdan Balık Restaurant,9308488729,osm
129,restoran,kisa_unvan,Nevince Ev Yemekleri,3942788160,osm
130,restoran,kisa_unvan,Milano,0392827221,osm
131,restoran,kisa_unvan,Sıla Mersin Tantuni,9275037313,osm
132,restoran,kisa_unvan,Dostlar Sofrası 1986,3038567703,osm
133,restoran,kisa_unvan,Kassab Köfte & Döner,5184498925,osm
134,restoran,kisa_unvan,Daruzziyafe,6591846385,osm
135,restoran,kisa_unvan,Lekker,5779082729,osm
136,restoran,kisa_unvan,İBB Pendik Kent Lokantası,8432225919,osm
137,restoran,uzun_unvan,Giorgi,6517773922,osm
138,restoran,uzun_unvan,Çiğköftem,6030299224,osm
139,restoran,kisa_unvan,Elit Ciğer Kaburga,0920242866,osm
140,restoran,kisa_unvan,Albura kathisma resturant & cafe,9041379771,osm
141,restoran,kisa_unvan,BÜFE KOŞUYOLU,6929298420,osm
142,restoran,uzun_unvan,Bonker's,5799136628,osm
143,restoran,kisa_unvan,Moni Restoran Cafe,3886291274,osm
144,restoran,uzun_unvan,Mosaic Terrace Restaurant,9088117291,osm
145,restoran,kisa_unvan,Merkez Döner,0686508639,osm
146,restoran,uzun_unvan,Enbey Döner,7659916244,osm
147,restoran,kisa_unvan,Şahin Döner,3149864305,osm
148,restoran,uzun_unvan,Büyükçekmece Kumrumm,0981806351,osm
149,restoran,kisa_unvan,OSES ÇIĞ KÖFTE,1269448695,osm
150,restoran,kisa_unvan,Kitchen 35,4636887254,osm
151,restoran,kisa_unvan,Şahane Pilavcı,7449562137,osm
152,restoran,kisa_unvan,Mezze House,2138658901,osm
153,restoran,kisa_unvan,Köfte,0127961149,osm
154,restoran,kisa_unvan,Ziyafet çiğköfte,1906698490,osm
155,restoran,kisa_unvan,Emin oğulları pastaneleri,2770384301,osm
156,restoran,uzun_unvan,Mykonos Balık,8839205303,osm
157,restoran,yabanci_ortakli,mevlana pide,1465669382,osm
158,restoran,kisa_unvan,Anadolu dürüm,1184895548,osm
159,restoran,kisa_unvan,Izgaracım Et Mangal,3769042683,osm
160,restoran,kisa_unvan,Dejavu Restaurant and Bar,1845184891,osm
161,restoran,kisa_unvan,Balıkçımız Hasan,7697357792,osm
162,restoran,uzun_unvan,Bursa Kebab Evi,7141633561,osm
163,restoran,yabanci_ortakli,Sarıyer Börek,8804341658,osm
164,restoran,kisa_unvan,Dürümcü mehmetin yeri,2755394231,osm
165,restoran,kisa_unvan,Beltur,3334333396,osm
166,restoran,kisa_unvan,Doyuran Ev Yemekleri,1117908075,osm
167,restoran,kisa_unvan,Reis Döner,5794728464,osm
168,restoran,kisa_unvan,adıyaman çiğ köfte,9208678083,osm
169,restoran,kisa_unvan,Söğüt Döner,2718750037,osm
170,restoran,kisa_unvan,Şehzade Börek,1559428431,osm
171,restoran,kisa_unvan,Anteplioğlu Tatlı & Baklava,9552763652,osm
172,restoran,kisa_unvan,Derin Köfte&Burger,6472929311,osm
173,restoran,uzun_unvan,Küffette Köfte,3866322704,osm
174,restoran,kisa_unvan,Elefendi,7288574488,osm
175,restoran,uzun_unvan,Köşk Pide Lahmacun,0612034713,osm
176,restoran,kisa_unvan,Çiğköfte Evi Pendik,5455884506,osm
177,restoran,kisa_unvan,Fırtına Restoran,5939982459,osm
178,restoran,kisa_unvan,HSB Sarıyer Börekçisi,8771694726,osm
179,restoran,uzun_unvan,Uğur Büryan,5699611252,osm
180,restoran,kisa_unvan,çetinkaya,5449647592,osm
181,restoran,kisa_unvan,Dönerci Metin Usta,7622023417,osm
182,restoran,kisa_unvan,melisa,6111780068,osm
183,restoran,kisa_unvan,Uğur böceği,1149216435,osm
184,restoran,kisa_unvan,Kebaq肉捲,4722820056,osm
185,restoran,uzun_unvan,Fit House sağlıklı yemek,5778487281,osm
186,restoran,kisa_unvan,Hakiki hatay urunleri,9796884571,osm
187,restoran,kisa_unvan,Anadolu,1745642406,osm
188,restoran,kisa_unvan,Konya Lezzetleri,2547807747,osm
189,restoran,kisa_unvan,Ocean's 7 cafe & resturant,6493085366,osm
190,restoran,uzun_unvan,Ela Sofia Kebap,6632663413,osm
191,restoran,kisa_unvan,Hanımeli kıztaşı,3894484635,osm
192,restoran,uzun_unvan,Aslı Börek,2241797493,osm
193,restoran,kisa_unvan,Sissorotti Pasta,5020802140,osm
194,restoran,kisa_unvan,Meşk-i Çeşme,7031207351,osm
195,restoran,kisa_unvan,Yücel Büfe,7570512049,osm
196,restoran,uzun_unvan,Aksoy Döner,1872346011,osm
197,restoran,yabanci_ortakli,King Asado Burger,3673037186,osm
198,restoran,uzun_unvan,Çiftlik Restoran,3764520884,osm
199,restoran,kisa_unvan,Pide Sun,7435031365,osm
200,restoran,kisa_unvan,Tazedo,2491630091,osm
201,restoran,uzun_unvan,Galata House Restaurant,7925132712,osm
202,restoran,uzun_unvan,Çarşı Muhallebicisi,5005281272,osm
203,restoran,kisa_unvan,Barbeku Restoran,8573065242,osm
204,restoran,uzun_unvan,Cibali,7784873928,osm
205,restoran,kisa_unvan,Birtat Mersin Tantuni,5749821823,osm
206,restoran,kisa_unvan,Izgaradan,4857086201,osm
207,restoran,kisa_unvan,İstanbul Döner,5935186385,osm
208,restoran,uzun_unvan,Galapera Restaurant,8294565117,osm
209,restoran,kisa_unvan,Çağri restaurant,1022031735,osm
210,restoran,kisa_unvan,Moda pilavcısı,9678994052,osm
211,restoran,kisa_unvan,Kırçiçeği,1037170586,osm
212,restoran,uzun_unvan,Yeni Karadeniz pide,6509480149,osm
213,restoran,kisa_unvan,Doydukmu,3811386335,osm
214,restoran,kisa_unvan,Hacielaziz Çigköfte,3928861951,osm
215,restoran,uzun_unvan,Tuzla Köşem Döner,6122868529,osm
216,restoran,kisa_unvan,Ziyafet kuzu çevirme İstanbul,9755855666,osm
217,restoran,uzun_unvan,Laleli Sultan Turkish Delight,5939836849,osm
218,restoran,kisa_unvan,Vefalı Köfteci,7760049080,osm
219,restoran,kisa_unvan,Galata Kiva,4043350484,osm
220,restoran,kisa_unvan,WestMix,9921075224,osm
221,restoran,kisa_unvan,Dağlayan Börek,9334419696,osm
222,restoran,uzun_unvan,Son Osmanli Restaurant,1572791947,osm
223,restoran,kisa_unvan,Site kokreç,9610556612,osm
224,restoran,uzun_unvan,Balım,3906048057,osm
225,restoran,kisa_unvan,Old House Restaurant & Bar Cafe,2583206792,osm
226,restoran,kisa_unvan,Hd İskender,1364622510,osm
227,restoran,kisa_unvan,Mila,0864168627,osm
228,restoran,uzun_unvan,Doneri Ye,7837693897,osm
229,restoran,yabanci_ortakli,Sur Pide ve Lavaş Lahmacun Salonu,8331465919,osm
230,restoran,kisa_unvan,İzgara Evi,6655355904,osm
231,restoran,uzun_unvan,West Town Cafe & Restaurant,2597927039,osm
232,restoran,kisa_unvan,Mama Bowl Kozyatağı,5211039245,osm
233,restoran,kisa_unvan,Akdeniz Hatay Sofrası,1477053834,osm
234,restoran,kisa_unvan,Ataklı pide,8487920697,osm
235,restoran,uzun_unvan,Zeytinburnu Belediyesi Belgradkapı Sosyal Tesisleri,8042043946,osm
236,restoran,kisa_unvan,Meşhur Menemenci Cemal Polat,0164510461,osm
237,restoran,kisa_unvan,Tantunici Emmi,6815798121,osm
238,restoran,kisa_unvan,Arch Bistro,7800384571,osm
239,restoran,kisa_unvan,Samsun Pide Evi,2055543846,osm
240,restoran,uzun_unvan,Saray Döner,4608432565,osm
241,restoran,uzun_unvan,Cooking House,1689363920,osm
242,restoran,kisa_unvan,Osmanlı Tulumbacısı ve Baklava,4957823294,osm
243,restoran,kisa_unvan,Nur Kebap Lahmacun Pide salonu,3248262925,osm
244,restoran,kisa_unvan,Tarihi Sebat Et Döneri,8812520569,osm
245,restoran,yabanci_ortakli,Pilav Döner,4742312207,osm
246,restoran,uzun_unvan,Tarihi Börek,9949993931,osm
247,restoran,kisa_unvan,Öses Çiğ Köfte,0517289756,osm
248,restoran,kisa_unvan,Barbayani,6772233060,osm
249,restoran,uzun_unvan,Gece Kokoreçcisi,0463331271,osm
250,restoran,uzun_unvan,Şenol,7573660967,osm
251,restoran,uzun_unvan,Valide Kebap ve Lahmacun Salonu,6999880816,osm
252,restoran,kisa_unvan,Gaziantepli Altınoğlu Baklava,0388608684,osm
253,restoran,uzun_unvan,Zirvem Lahmacun Kebap Pide,0347644728,osm
254,restoran,kisa_unvan,Dostlar Ocakbaşı,9082771818,osm
255,restoran,kisa_unvan,Crumble Mantı Evi,9826657024,osm
256,restoran,kisa_unvan,Park Night Restaurant,3714521116,osm
257,restoran,uzun_unvan,Yaşam Döner,5186892686,osm
258,restoran,kisa_unvan,Dürümcü Apo Usta,2592222067,osm
259,restoran,kisa_unvan,Vegan Community Kitchen Express,7421230940,osm
260,restoran,kisa_unvan,Simitbox,7780973394,osm
261,restoran,uzun_unvan,Tadında,7671990383,osm
262,restoran,kisa_unvan,Divan Kebap Döner Salonu,8302205027,osm
263,restoran,uzun_unvan,Memoş Tantuni,9945101625,osm
264,restoran,kisa_unvan,Öz Pide,4999827956,osm
265,restoran,uzun_unvan,Can Baba Börek,1455616811,osm
266,restoran,kisa_unvan,Yormaz ( pasta&kahve),2145868336,osm
267,restoran,kisa_unvan,Currywurst Pommes,1981794690,osm
268,restoran,uzun_unvan,Şelale,4899529976,osm
269,restoran,kisa_unvan,Damak kebap,7729343010,osm
270,restoran,kisa_unvan,Saruhan İşkembe Salonu,1396605584,osm
271,restoran,uzun_unvan,Bolu tat lokantası,3034414484,osm
272,restoran,kisa_unvan,Tarbuş,0155699028,osm
273,restoran,kisa_unvan,Onbaşılar Dürümcü,5770272782,osm
274,restoran,uzun_unvan,Park bufe,7608495889,osm
275,restoran,kisa_unvan,Zürafa no 203,9551240563,osm
276,restoran,kisa_unvan,Doğukan Büfe,2996291451,osm
277,restoran,uzun_unvan,Zilli Zurna,4617357430,osm
278,restoran,kisa_unvan,Seven Hills Restaurant,2150317809,osm
279,restoran,uzun_unvan,Tad Et & İzgara,8235784522,osm
280,restoran,uzun_unvan,Patlıcan Cafe & Ev Yemekleri,1823076819,osm
281,restoran,kisa_unvan,Rainbow Cafe Restaurant,0915701844,osm
282,restoran,kisa_unvan,başak börekcisi,4353344856,osm
283,restoran,uzun_unvan,Zeynep Pide and Lahmacun,1422410989,osm
284,restoran,kisa_unvan,Giger kepeb,3858542497,osm
285,restoran,kisa_unvan,Karadeniz Köfte ve Yemek Salonu,1495870200,osm
286,restoran,kisa_unvan,Pizza Pizza,0160166291,osm
287,restoran,uzun_unvan,Müslüm Usta Has Urfa 63,7954538170,osm
288,restoran,kisa_unvan,Kaçkar Saray Büfe,1717477332,osm
289,restoran,kisa_unvan,Öz Sarıyer Börek,9456255771,osm
290,restoran,kisa_unvan,Cigeristan,7157724591,osm
291,restoran,kisa_unvan,Gözleme Sarayı,8161581481,osm
292,restoran,kisa_unvan,Uğurlu cafe restorant,9639382760,osm
293,restoran,kisa_unvan,Merdanem Börek,3966958327,osm
294,restoran,uzun_unvan,Ali baba,1971997589,osm
295,restoran,kisa_unvan,Buhara Ocakbaşı Restaurant,7246191963,osm
296,restoran,kisa_unvan,Döner kebap,0132902273,osm
297,restoran,kisa_unvan,Mardin Et Ve Kebap Salonu,6997335494,osm
298,restoran,uzun_unvan,SushiCo Suadiye,4651909861,osm
299,restoran,uzun_unvan,Dağlayan Börek & Pide,4058008510,osm
300,restoran,uzun_unvan,Vezneciler pilavcısı,0369656663,osm
301,restoran,kisa_unvan,Özcüneş Lokum & Şekerleme,3272386563,osm
302,restoran,kisa_unvan,Kebaphane,2201027626,osm
303,restoran,kisa_unvan,Mola Ev Yemekleri,6796927866,osm
304,restoran,kisa_unvan,Uğur işkembe salonu,7653269094,osm
305,restoran,kisa_unvan,Orhan Köfte Salonu,3846895003,osm
306,restoran,kisa_unvan,Hattad Döner,5197128470,osm
307,restoran,kisa_unvan,Reggae BR Shot and Food,8913718949,osm
308,restoran,kisa_unvan,Tadım Unlu Mamulleri,5807787958,osm
309,restoran,kisa_unvan,Nevzat Usta,4420949402,osm
310,restoran,kisa_unvan,İstanbul Restoran,9290490479,osm
311,restoran,kisa_unvan,Üstadlar Ocakbaşı,8144294447,osm
312,restoran,kisa_unvan,Güven Ocakbaşı,1929275241,osm
313,restoran,uzun_unvan,Korkmaz Bufe Döner,3728051290,osm
314,restoran,uzun_unvan,İkizler Pilav ve Dürüm Evi,2766372395,osm
315,restoran,uzun_unvan,Diyar Lahmacun,5041027676,osm
316,restoran,kisa_unvan,tostçudede,8366742864,osm
317,restoran,kisa_unvan,Midyeci Yasin,7658018563,osm
318,restoran,kisa_unvan,Gümüş Büfe,4544149675,osm
319,restoran,uzun_unvan,Istanbul Restaurant,3938525809,osm
320,restoran,uzun_unvan,Akarçay Kebap,1061817539,osm
321,restoran,uzun_unvan,Altın Şiş Kebap Salonu,4300910931,osm
322,restoran,yabanci_ortakli,Tarihi Sariyer Börekçisi,1119269213,osm
323,restoran,uzun_unvan,World Zurna Dürüm,4471746547,osm
324,restoran,kisa_unvan,Alfred,1406650448,osm
325,restoran,kisa_unvan,Gaziantep Restaurant,1739627123,osm
326,restoran,kisa_unvan,Et ustası,6391741012,osm
327,restoran,kisa_unvan,Evcil Lahmacun Pide,4707200643,osm
328,restoran,kisa_unvan,Maris Kebap Lahmacun,5690877666,osm
329,restoran,uzun_unvan,Acımız Büyük Çi Küfte,1830671988,osm
330,restoran,uzun_unvan,Labella Premium Topkapı,5546015859,osm
331,restoran,kisa_unvan,Kebab and fish house,7432806342,osm
332,restoran,uzun_unvan,Tekirdağ Köftecisi,1571732037,osm
333,restoran,kisa_unvan,Arsemia Çiğköfte,9376184787,osm
334,restoran,yabanci_ortakli,Meşhur Unkapanı Pilavcısı,7005050615,osm
335,restoran,kisa_unvan,Anıl Cafe Börek,8782931022,osm
336,restoran,kisa_unvan,Uzunlar Kebap,0790320205,osm
337,restoran,uzun_unvan,Gaziantep ünal,1792911172,osm
338,restoran,kisa_unvan,Kamer Büfe 2,9313656511,osm
339,restoran,yabanci_ortakli,Tek Büfe 7,9825309251,osm
340,restoran,kisa_unvan,Taş Fırın,4262582734,osm
341,restoran,uzun_unvan,McDonald's,0219620719,osm
342,restoran,kisa_unvan,Gencler kebab,2194672326,osm
343,restoran,kisa_unvan,Renk Kasabı Et Evi,8763290924,osm
344,restoran,uzun_unvan,Alşark restoran,9145608333,osm
345,restoran,kisa_unvan,Enbaba Kebap,8195883734,osm
346,restoran,kisa_unvan,42.5,3127722001,osm
347,restoran,kisa_unvan,Zeynel Usta,4364597019,osm
348,restoran,uzun_unvan,Döner Sadık Usta,8220781131,osm
349,restoran,uzun_unvan,İnci Balık,9956353150,osm
350,restoran,kisa_unvan,ipar pasta evi,3636317971,osm
351,restoran,kisa_unvan,Fındıklı Yufkacısı,6239726528,osm
352,restoran,kisa_unvan,Gala Pilav,3543520901,osm
353,restoran,kisa_unvan,Öz Mevlana Pide,1776253492,osm
354,restoran,kisa_unvan,Tellioğlu Trabzon Pidecisi 1985,9298316874,osm
355,restoran,uzun_unvan,Zeyno Waffle,3977406332,osm
356,restoran,kisa_unvan,Kybele Restaurant,9392906002,osm
357,restoran,yabanci_ortakli,Özbek Sofrası,8068671770,osm
358,restoran,kisa_unvan,Beyler Restaurant,8063254313,osm
359,restoran,kisa_unvan,Çiğköfteci Said,4279907723,osm
360,restoran,uzun_unvan,Ekrem Çoşkun Döner,6257016585,osm
361,restoran,kisa_unvan,Mivan Restaurant Cafe,6498931953,osm
362,restoran,uzun_unvan,İş Bankası Kalamış Lokali,0850165792,osm
363,restoran,kisa_unvan,Mirar Sinan,5281832534,osm
364,restoran,kisa_unvan,Cookshop,7933554861,osm
365,restoran,kisa_unvan,Falafel & Humus,1557788176,osm
366,restoran,uzun_unvan,Ham Ham Tost Döner Kahvaltı Evi,8479513713,osm
367,restoran,kisa_unvan,Karınca Kebap,2411241271,osm
368,restoran,kisa_unvan,Kadioglu Et Lokantasi,3804682756,osm
369,restoran,kisa_unvan,Köfteci Mustafa,0431038561,osm
370,restoran,kisa_unvan,Skoop,5798877497,osm
371,restoran,kisa_unvan,Hacıelaziz çiğköfte,4243754027,osm
372,restoran,kisa_unvan,Kardeşler Büfe,7292842221,osm
373,restoran,kisa_unvan,Meydan Lokantası,1059274522,osm
374,restoran,kisa_unvan,Çakıl Türk Mutfağı,0552578285,osm
375,restoran,kisa_unvan,Bi'Buçuk,0672752087,osm
376,restoran,yabanci_ortakli,Sarıyer,5474929752,osm
377,restoran,uzun_unvan,Pasta Nini,7028140693,osm
378,restoran,uzun_unvan,Simit İnn,7515093980,osm
379,restoran,kisa_unvan,Pide 44,4301871865,osm
380,restoran,kisa_unvan,Alkan ekmek,5998056260,osm
381,restoran,kisa_unvan,Makarna Sarayı,5045547811,osm
382,restoran,kisa_unvan,Çetin Usta Toplu Yemek Hizmetleri,7674266298,osm
383,restoran,kisa_unvan,Galata Fish & Kebab Restaurant,2347851964,osm
384,restoran,kisa_unvan,Yuvam Restaurant,6462879239,osm
385,restoran,kisa_unvan,Cadde İst'klal,6487049475,osm
386,restoran,kisa_unvan,Ekim Et Lokantası,7300244717,osm
387,restoran,uzun_unvan,Camion,4627301472,osm
388,restoran,yabanci_ortakli,Çavuşoğulları,1959796474,osm
389,restoran,yabanci_ortakli,Ademoğlu,1589042902,osm
390,restoran,kisa_unvan,Muhtar lokantası,7252045657,osm
391,restoran,kisa_unvan,Zoo,4818321922,osm
392,restoran,kisa_unvan,Mehim Kebap,5445189522,osm
393,restoran,kisa_unvan,Kılavuz Döner,8457652134,osm
394,restoran,kisa_unvan,+852 Hong Kong,3389888166,osm
395,restoran,kisa_unvan,Susamoğl Baklava,1120754527,osm
396,restoran,uzun_unvan,Dream Lounge,9852401328,osm
397,restoran,uzun_unvan,Schnitzel Landmann,2342321614,osm
398,restoran,kisa_unvan,Sahil Sofrası,7603108908,osm
399,restoran,kisa_unvan,Gala Kokoreç,4014011930,osm
400,restoran,kisa_unvan,N Terrace Restaurant,3250124955,osm
401,restoran,kisa_unvan,Can büfe,8938911902,osm
402,restoran,kisa_unvan,Tarihi Özkan Köftecisi,3428013877,osm
403,restoran,kisa_unvan,Gül Ağacı,9271256635,osm
404,restoran,kisa_unvan,Oğuzhan Pide Lahmacun Kebap,6151718275,osm
405,restoran,uzun_unvan,Özbek Samsa Senter,4801571648,osm
406,restoran,kisa_unvan,Alpaşa Döner,4738646316,osm
407,restoran,uzun_unvan,Sintesi,7520716783,osm
408,restoran,uzun_unvan,Odessa Restaurant,1126691216,osm
409,restoran,kisa_unvan,Öz Kilis Lahmacun ve Kebap,3539613677,osm
410,restoran,kisa_unvan,Fısıltı Lounge,9946579678,osm
411,restoran,kisa_unvan,Sofi Döner,2711477322,osm
412,restoran,kisa_unvan,La Nostro,0170269526,osm
413,restoran,kisa_unvan,ege rum meyhanesi cam ve ambalaj atık,9118773475,osm
414,restoran,kisa_unvan,Behzadem Cafe Restaurant,4858800618,osm
415,restoran,kisa_unvan,Oz mevlana,5677002844,osm
416,restoran,uzun_unvan,Ahsen hatay sofrasi,2762467194,osm
417,restoran,uzun_unvan,Pesto restorant,8897782804,osm
418,restoran,kisa_unvan,Saruhan Kebap,7969545002,osm
